FY19,DEPARTMENT_NAME,DIVISION_NAME,ORG_NAME,ORG_DESC,FUND,FUND_NAME,ACCT_TYPE,ACCT_CAT,ACCT_CODE,ACCT_DESCR,AMOUNT,FID
FY19,Authorities,Tax Increment Financing Authority,Administration,1000 - Administration,2470,Tax Increment Finance Authority,EXPENSE,Other Services and Charges,8010,Contractual Services,160060,37
FY19,Adminitrative Services,Human Resources,Insurance-Bldg & Contents,5400 - Insurance-Bldg & Contents,6771,Other Reserves-Insurance,EXPENSE,Personnel Services,7020,Full Time Employees,117348,38
FY19,Adminitrative Services,Admin Services Support,Customer Service Info Center,3000 - Customer Service Info Center,1010,General Fund Operating,EXPENSE,Personnel Services,7105,Employers FICA,5269,39
FY19,Adminitrative Services,Admin Services Support,Customer Service Info Center,3000 - Customer Service Info Center,1010,General Fund Operating,EXPENSE,Personnel Services,7110,Hospitalization Insurance,14400,40
FY19,Authorities,Brownfield Redevelopment Authority,Administration,1000 - Administration,2430,Brownfield Operations,EXPENSE,Other Services and Charges,8010,Contractual Services,150060,41
FY19,Adminitrative Services,Admin Services Support,Customer Service Info Center,3000 - Customer Service Info Center,1010,General Fund Operating,EXPENSE,Personnel Services,7115,Retiree Health Care-OPEB,8512,42
FY19,Adminitrative Services,Human Resources,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Personnel Services,7115,Retiree Health Care-OPEB,38839,43
FY19,Adminitrative Services,Human Resources,Insurance-Bldg & Contents,5400 - Insurance-Bldg & Contents,6771,Other Reserves-Insurance,EXPENSE,Personnel Services,7105,Employers FICA,8977,44
FY19,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,EXPENSE,Other Services and Charges,9470,Employee Parking,8000,45
FY19,Authorities,Corridor Improvement Districts,Operations,2000 - Operations,7814,West Side Corridor Improvement District,EXPENSE,Other Services and Charges,8010,Contractual Services,70000,46
FY19,Authorities,Tax Increment Financing Authority,Administration,1000 - Administration,2470,Tax Increment Finance Authority,EXPENSE,Other Services and Charges,8030,Administrative Services,60368,47
FY19,Clerk's Office,Clerk,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Capital Outlays,9800,Furniture,30000,48
FY19,Clerk's Office,Clerk,Voter Registration,2100 - Voter Registration,1010,General Fund Operating,EXPENSE,Personnel Services,7020,Full Time Employees,99725,49
FY19,Attorney's Office,Attorney,Municipal Affairs,3000 - Municipal Affairs,1010,General Fund Operating,EXPENSE,Other Services and Charges,8011,Contract Employees-Temporary Services,46252,50
FY19,Clerk's Office,Clerk,Voter Registration,2100 - Voter Registration,1010,General Fund Operating,EXPENSE,Personnel Services,7055,Time & One-half,9000,51
FY19,Adminitrative Services,Admin Services Support,Customer Service Info Center,3000 - Customer Service Info Center,1010,General Fund Operating,EXPENSE,Personnel Services,7120,Retirement Fund Contribution,15641,52
FY19,Adminitrative Services,Human Resources,Insurance-Bldg & Contents,5400 - Insurance-Bldg & Contents,6771,Other Reserves-Insurance,EXPENSE,Personnel Services,7110,Hospitalization Insurance,21600,53
FY19,Adminitrative Services,Human Resources,Employee Benefits,2100 - Employee Benefits,1010,General Fund Operating,EXPENSE,Personnel Services,7020,Full Time Employees,130390,54
FY19,Authorities,Corridor Improvement Districts,Operations,2000 - Operations,7815,Michigan Street Corridor Improvement District,EXPENSE,Other Services and Charges,8010,Contractual Services,7000,55
FY19,Adminitrative Services,Human Resources,Employee Benefits,2100 - Employee Benefits,1010,General Fund Operating,EXPENSE,Personnel Services,7105,Employers FICA,9969,56
FY19,Clerk's Office,Clerk,Voter Registration,2100 - Voter Registration,1010,General Fund Operating,EXPENSE,Personnel Services,7105,Employers FICA,7621,57
FY19,Adminitrative Services,Human Resources,Insurance-Bldg & Contents,5400 - Insurance-Bldg & Contents,6771,Other Reserves-Insurance,EXPENSE,Personnel Services,7115,Retiree Health Care-OPEB,14549,58
FY19,Adminitrative Services,Admin Services Support,Customer Service Info Center,3000 - Customer Service Info Center,1010,General Fund Operating,EXPENSE,Personnel Services,7135,Unemployment Compensation,96,59
FY19,Attorney's Office,Attorney,Municipal Affairs,3000 - Municipal Affairs,1010,General Fund Operating,EXPENSE,Other Services and Charges,8505,Employee Phone Reimbursement,435,60
FY19,Authorities,SmartZone LDFA,Administration,1000 - Administration,2500,SmartZone LDFA,EXPENSE,Other Services and Charges,8450,Claims,8112,61
FY19,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Personnel Services,7115,Retiree Health Care-OPEB,6918,62
FY19,Adminitrative Services,Human Resources,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Personnel Services,7120,Retirement Fund Contribution,71412,63
FY19,Adminitrative Services,Human Resources,Employee Benefits,2100 - Employee Benefits,1010,General Fund Operating,EXPENSE,Personnel Services,7110,Hospitalization Insurance,27360,64
FY19,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Personnel Services,7120,Retirement Fund Contribution,12717,65
FY19,Authorities,Downtown Development Authority,Administration,1000 - Administration,2484,DDA Local Tax Increment,EXPENSE,Other Services and Charges,8450,Claims,12450,66
FY19,Attorney's Office,Attorney,Municipal Affairs,3000 - Municipal Affairs,1010,General Fund Operating,EXPENSE,Other Services and Charges,8510,Postage,200,67
FY19,Clerk's Office,Clerk,Voter Registration,2100 - Voter Registration,1010,General Fund Operating,EXPENSE,Personnel Services,7110,Hospitalization Insurance,28800,68
FY19,Adminitrative Services,Human Resources,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Personnel Services,7135,Unemployment Compensation,436,69
FY19,Authorities,Tax Increment Financing Authority,Administration,1000 - Administration,2470,Tax Increment Finance Authority,EXPENSE,Other Services and Charges,8450,Claims,802,70
FY19,Attorney's Office,Attorney,Municipal Affairs,3000 - Municipal Affairs,1010,General Fund Operating,EXPENSE,Other Services and Charges,9100,Professional Development,4000,71
FY19,Clerk's Office,Clerk,Voter Registration,2100 - Voter Registration,1010,General Fund Operating,EXPENSE,Personnel Services,7115,Retiree Health Care-OPEB,12315,72
FY19,Clerk's Office,Clerk,Voter Registration,2100 - Voter Registration,1010,General Fund Operating,EXPENSE,Personnel Services,7120,Retirement Fund Contribution,22632,73
FY19,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Personnel Services,7135,Unemployment Compensation,84,74
FY19,Adminitrative Services,Human Resources,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Supplies,7520,Supplies,30000,75
FY19,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Supplies,7520,Supplies,12000,76
FY19,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Supplies,7910,Subscriptions and Publications,250,77
FY19,Adminitrative Services,Human Resources,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Other Services and Charges,8010,Contractual Services,332000,78
FY19,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Other Services and Charges,8010,Contractual Services,5000,79
FY19,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Other Services and Charges,8450,Claims,5463,80
FY19,Adminitrative Services,Human Resources,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Other Services and Charges,8500,Telephone,1500,81
FY19,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Other Services and Charges,8500,Telephone,1200,82
FY19,Adminitrative Services,Human Resources,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Other Services and Charges,8505,Employee Phone Reimbursement,600,83
FY19,Adminitrative Services,Human Resources,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Other Services and Charges,8510,Postage,1000,84
FY19,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Other Services and Charges,8510,Postage,100,85
FY19,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Other Services and Charges,8800,Community Promotion,500,86
FY19,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Other Services and Charges,9000,Printing & Publishing,250,87
FY19,Adminitrative Services,Human Resources,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Other Services and Charges,9110,Other Travel & Training,8000,88
FY19,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Other Services and Charges,9110,Other Travel & Training,500,89
FY19,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Other Services and Charges,9130,Local Business Expense,500,90
FY19,Adminitrative Services,Human Resources,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Other Services and Charges,9150,Memberships,1500,91
FY19,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Other Services and Charges,9150,Memberships,500,92
FY19,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Other Services and Charges,9410,Equipment Rentals or Lease,260,93
FY19,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,30450,94
FY19,Adminitrative Services,Human Resources,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Other Services and Charges,9470,Employee Parking,14940,95
FY19,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Other Services and Charges,9470,Employee Parking,5000,96
FY19,Adminitrative Services,Human Resources,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Other Services and Charges,9480,Computer Services-from IT,292661,97
FY19,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Other Services and Charges,9480,Computer Services-from IT,60905,98
FY19,Adminitrative Services,Human Resources,City University,1020 - City University,1010,General Fund Operating,EXPENSE,Other Services and Charges,8010,Contractual Services,74000,99
FY19,Adminitrative Services,Human Resources,City University,1020 - City University,1010,General Fund Operating,EXPENSE,Other Services and Charges,9140,Tuition Reimbursement-Scholarsh,55000,100
FY19,Adminitrative Services,Human Resources,City University,1020 - City University,1010,General Fund Operating,EXPENSE,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,33246,101
FY19,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,EXPENSE,Personnel Services,7020,Full Time Employees,199923,102
FY19,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,EXPENSE,Personnel Services,7105,Employers FICA,15289,103
FY19,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,EXPENSE,Personnel Services,7110,Hospitalization Insurance,36000,104
FY19,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,EXPENSE,Personnel Services,7115,Retiree Health Care-OPEB,24690,105
FY19,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,EXPENSE,Personnel Services,7120,Retirement Fund Contribution,45381,106
FY19,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,EXPENSE,Personnel Services,7135,Unemployment Compensation,276,107
FY19,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,EXPENSE,Supplies,7520,Supplies,4725,108
FY19,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,EXPENSE,Supplies,7910,Subscriptions and Publications,100,109
FY19,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,EXPENSE,Other Services and Charges,8010,Contractual Services,15000,110
FY19,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,EXPENSE,Other Services and Charges,8510,Postage,500,111
FY19,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,EXPENSE,Other Services and Charges,8800,Community Promotion,8000,112
FY19,Attorney's Office,Attorney,Municipal Affairs,3000 - Municipal Affairs,1010,General Fund Operating,EXPENSE,Other Services and Charges,9110,Other Travel & Training,2600,113
FY19,Authorities,Brownfield Redevelopment Authority,Administration,1000 - Administration,2430,Brownfield Operations,EXPENSE,Other Services and Charges,8450,Claims,9343,114
FY19,Authorities,Corridor Improvement Districts,Operations,2000 - Operations,7811,Southtown Corridor Improvement District,EXPENSE,Other Services and Charges,8030,Administrative Services,15000,115
FY19,Adminitrative Services,Human Resources,Employee Benefits,2100 - Employee Benefits,1010,General Fund Operating,EXPENSE,Personnel Services,7115,Retiree Health Care-OPEB,16184,116
FY19,Adminitrative Services,Human Resources,Insurance-Bldg & Contents,5400 - Insurance-Bldg & Contents,6771,Other Reserves-Insurance,EXPENSE,Personnel Services,7120,Retirement Fund Contribution,26743,117
FY19,Adminitrative Services,Admin Services Support,Customer Service Info Center,3000 - Customer Service Info Center,1010,General Fund Operating,EXPENSE,Supplies,7520,Supplies,1000,118
FY19,Clerk's Office,Clerk,Voter Registration,2100 - Voter Registration,1010,General Fund Operating,EXPENSE,Personnel Services,7135,Unemployment Compensation,132,119
FY19,Attorney's Office,Attorney,Municipal Affairs,3000 - Municipal Affairs,1010,General Fund Operating,EXPENSE,Other Services and Charges,9150,Memberships,2500,120
FY19,Attorney's Office,Attorney,Municipal Affairs,3000 - Municipal Affairs,1010,General Fund Operating,EXPENSE,Other Services and Charges,9410,Equipment Rentals or Lease,2500,121
FY19,Attorney's Office,Attorney,Ordinance Enforcement,4000 - Ordinance Enforcement,1010,General Fund Operating,EXPENSE,Personnel Services,7020,Full Time Employees,355332,122
FY19,Attorney's Office,Attorney,Ordinance Enforcement,4000 - Ordinance Enforcement,1010,General Fund Operating,EXPENSE,Personnel Services,7105,Employers FICA,27183,123
FY19,Attorney's Office,Attorney,Ordinance Enforcement,4000 - Ordinance Enforcement,1010,General Fund Operating,EXPENSE,Personnel Services,7110,Hospitalization Insurance,72000,124
FY19,Attorney's Office,Attorney,Ordinance Enforcement,4000 - Ordinance Enforcement,1010,General Fund Operating,EXPENSE,Personnel Services,7115,Retiree Health Care-OPEB,44187,125
FY19,Attorney's Office,Attorney,Ordinance Enforcement,4000 - Ordinance Enforcement,1010,General Fund Operating,EXPENSE,Personnel Services,7120,Retirement Fund Contribution,81258,126
FY19,Attorney's Office,Attorney,Ordinance Enforcement,4000 - Ordinance Enforcement,1010,General Fund Operating,EXPENSE,Personnel Services,7135,Unemployment Compensation,489,127
FY19,Attorney's Office,Attorney,Ordinance Enforcement,4000 - Ordinance Enforcement,1010,General Fund Operating,EXPENSE,Supplies,7520,Supplies,12000,128
FY19,Attorney's Office,Attorney,Ordinance Enforcement,4000 - Ordinance Enforcement,1010,General Fund Operating,EXPENSE,Other Services and Charges,8010,Contractual Services,5000,129
FY19,Attorney's Office,Attorney,Ordinance Enforcement,4000 - Ordinance Enforcement,1010,General Fund Operating,EXPENSE,Other Services and Charges,8240,Fees,4500,130
FY19,Attorney's Office,Attorney,Ordinance Enforcement,4000 - Ordinance Enforcement,1010,General Fund Operating,EXPENSE,Other Services and Charges,8260,Police Witness Fees,3000,131
FY19,Attorney's Office,Attorney,Ordinance Enforcement,4000 - Ordinance Enforcement,1010,General Fund Operating,EXPENSE,Other Services and Charges,8510,Postage,975,132
FY19,Attorney's Office,Attorney,Ordinance Enforcement,4000 - Ordinance Enforcement,1010,General Fund Operating,EXPENSE,Other Services and Charges,9100,Professional Development,1000,133
FY19,Attorney's Office,Attorney,Ordinance Enforcement,4000 - Ordinance Enforcement,1010,General Fund Operating,EXPENSE,Other Services and Charges,9150,Memberships,1000,134
FY19,Attorney's Office,Attorney,Ordinance Enforcement,4000 - Ordinance Enforcement,1010,General Fund Operating,EXPENSE,Other Services and Charges,9410,Equipment Rentals or Lease,1800,135
FY19,Authorities,SmartZone LDFA,Administration,1000 - Administration,2500,SmartZone LDFA,EXPENSE,Personnel Services,7020,Full Time Employees,97135,136
FY19,Authorities,Downtown Development Authority,Administration,1000 - Administration,2484,DDA Local Tax Increment,EXPENSE,Personnel Services,7020,Full Time Employees,32460,137
FY19,Authorities,Tax Increment Financing Authority,Administration,1000 - Administration,2470,Tax Increment Finance Authority,EXPENSE,Personnel Services,7020,Full Time Employees,2940,138
FY19,Authorities,Brownfield Redevelopment Authority,Administration,1000 - Administration,2430,Brownfield Operations,EXPENSE,Personnel Services,7020,Full Time Employees,202490,139
FY19,Authorities,SmartZone LDFA,Administration,1000 - Administration,2500,SmartZone LDFA,EXPENSE,Personnel Services,7105,Employers FICA,7429,140
FY19,Authorities,Downtown Development Authority,Administration,1000 - Administration,2484,DDA Local Tax Increment,EXPENSE,Personnel Services,7105,Employers FICA,2484,141
FY19,Authorities,Tax Increment Financing Authority,Administration,1000 - Administration,2470,Tax Increment Finance Authority,EXPENSE,Personnel Services,7105,Employers FICA,228,142
FY19,Authorities,Brownfield Redevelopment Authority,Administration,1000 - Administration,2430,Brownfield Operations,EXPENSE,Personnel Services,7105,Employers FICA,15480,143
FY19,Authorities,SmartZone LDFA,Administration,1000 - Administration,2500,SmartZone LDFA,EXPENSE,Personnel Services,7110,Hospitalization Insurance,18000,144
FY19,Authorities,Downtown Development Authority,Administration,1000 - Administration,2484,DDA Local Tax Increment,EXPENSE,Personnel Services,7110,Hospitalization Insurance,4752,145
FY19,Authorities,Tax Increment Financing Authority,Administration,1000 - Administration,2470,Tax Increment Finance Authority,EXPENSE,Personnel Services,7110,Hospitalization Insurance,432,146
FY19,Authorities,Brownfield Redevelopment Authority,Administration,1000 - Administration,2430,Brownfield Operations,EXPENSE,Personnel Services,7110,Hospitalization Insurance,37584,147
FY19,Authorities,SmartZone LDFA,Administration,1000 - Administration,2500,SmartZone LDFA,EXPENSE,Personnel Services,7115,Retiree Health Care-OPEB,12055,148
FY19,Authorities,Downtown Development Authority,Administration,1000 - Administration,2484,DDA Local Tax Increment,EXPENSE,Personnel Services,7115,Retiree Health Care-OPEB,4008,149
FY19,Authorities,Tax Increment Financing Authority,Administration,1000 - Administration,2470,Tax Increment Finance Authority,EXPENSE,Personnel Services,7115,Retiree Health Care-OPEB,360,150
FY19,Authorities,Brownfield Redevelopment Authority,Administration,1000 - Administration,2430,Brownfield Operations,EXPENSE,Personnel Services,7115,Retiree Health Care-OPEB,25034,151
FY19,Authorities,SmartZone LDFA,Administration,1000 - Administration,2500,SmartZone LDFA,EXPENSE,Personnel Services,7120,Retirement Fund Contribution,22159,152
FY19,Authorities,Downtown Development Authority,Administration,1000 - Administration,2484,DDA Local Tax Increment,EXPENSE,Personnel Services,7120,Retirement Fund Contribution,7368,153
FY19,Authorities,Tax Increment Financing Authority,Administration,1000 - Administration,2470,Tax Increment Finance Authority,EXPENSE,Personnel Services,7120,Retirement Fund Contribution,672,154
FY19,Authorities,Brownfield Redevelopment Authority,Administration,1000 - Administration,2430,Brownfield Operations,EXPENSE,Personnel Services,7120,Retirement Fund Contribution,46035,155
FY19,Authorities,SmartZone LDFA,Administration,1000 - Administration,2500,SmartZone LDFA,EXPENSE,Personnel Services,7135,Unemployment Compensation,136,156
FY19,Authorities,Downtown Development Authority,Administration,1000 - Administration,2484,DDA Local Tax Increment,EXPENSE,Personnel Services,7135,Unemployment Compensation,48,157
FY19,Authorities,Brownfield Redevelopment Authority,Administration,1000 - Administration,2430,Brownfield Operations,EXPENSE,Personnel Services,7135,Unemployment Compensation,276,158
FY19,Authorities,SmartZone LDFA,Administration,1000 - Administration,2500,SmartZone LDFA,EXPENSE,Supplies,7520,Supplies,3035,159
FY19,Authorities,Downtown Development Authority,Administration,1000 - Administration,2483,DDA Non Tax Increment,EXPENSE,Supplies,7520,Supplies,5356,160
FY19,Clerk's Office,Clerk,Voter Registration,2100 - Voter Registration,1010,General Fund Operating,EXPENSE,Other Services and Charges,9470,Employee Parking,892,161
FY19,Clerk's Office,Clerk,Election Admin-Non Billing,2210 - Election Admin-Non Billing,1010,General Fund Operating,EXPENSE,Personnel Services,7050,Regular Hourly Rate,37000,162
FY19,Clerk's Office,Clerk,Election Admin-Non Billing,2210 - Election Admin-Non Billing,1010,General Fund Operating,EXPENSE,Personnel Services,7055,Time & One-half,21000,163
FY19,Clerk's Office,Clerk,Election Admin-Non Billing,2210 - Election Admin-Non Billing,1010,General Fund Operating,EXPENSE,Personnel Services,7105,Employers FICA,5164,164
FY19,Clerk's Office,Clerk,Election Admin-Non Billing,2210 - Election Admin-Non Billing,1010,General Fund Operating,EXPENSE,Personnel Services,7170,Election Wrkr-Brd Members Pay,200000,165
FY19,Clerk's Office,Clerk,Election Admin-Non Billing,2210 - Election Admin-Non Billing,1010,General Fund Operating,EXPENSE,Supplies,7520,Supplies,45000,166
FY19,Clerk's Office,Clerk,Election Admin-Non Billing,2210 - Election Admin-Non Billing,1010,General Fund Operating,EXPENSE,Other Services and Charges,8010,Contractual Services,35000,167
FY19,Clerk's Office,Clerk,Election Admin-Non Billing,2210 - Election Admin-Non Billing,1010,General Fund Operating,EXPENSE,Other Services and Charges,8011,Contract Employees-Temporary Services,10000,168
FY19,Clerk's Office,Clerk,Election Admin-Non Billing,2210 - Election Admin-Non Billing,1010,General Fund Operating,EXPENSE,Other Services and Charges,8500,Telephone,1500,169
